,question,answer,category,table_id
36,At what age did Hebar Pazardzhik originally retire from his career?,39,wrestling,13
37,How many years ago did Hebar Pazardzhik debut his first match?,33,wrestling,13
38,For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?,5,wrestling,13
39,How old was Steve Austin when he started his wrestling career?,25,wrestling,13
40,How many years elapsed between Steve Austin's first retirement and his return match?,19,wrestling,13
41,How old was Steve Austin when he began his professional wrestling career?,25,wrestling,13
42,Who did Steve Austin marry in 1990?,Kathryn Burrhus,wrestling,13
43,How old was Steve Austin when he originally retired from professional wrestling?,38,wrestling,13
44,Who was the spouse of Hebar Pazardzhik in 2002?,Debra Marshall,wrestling,13
45,How many years after Ethiopia was first established did Mekelle become its capital?,601,empire,22
46,"When the first prime minister of the Ethiopian Empire took office, what was the state capital?",Addis Ababa,empire,22
47,Which was the capital of Ethiopia in 1880?,Mekelle,empire,22
48,How many years longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?,3,empire,22
49,Who was the prime minister of Ethiopia in 1925?,Habte Giyorgis,empire,22
50,How many years did the Ethiopian-Adal war last?,14,empire,22
51,Who was the emperor when the empire was conquered by Italy?,Haile Selassie,empire,22
52,How many years after the constitution was adopted was the monarchy abolished?,44,empire,22
53,Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?,85,empire,22
54,How many years after last playing for Monterrey did Mohamed first manage the team?,15,footballer,36
55,How many teams did Antonio Mohamed manage between 2003 and 2006?,5,footballer,36
56,What team did Antonio Mohamed play for in the 1990 season?,Huracán,footballer,36
57,How many years did Antonio Mohamed manage his previous team before managing the team he currently manages?,1,footballer,36
58,Over how many years did Antonio Mohamed play for the national team?,3,footballer,36
59,Which team did Antonio Mohamed manage in 2012?,Tijuana,footballer,36
60,How many unique teams did Tijuana manage from 2003-2020?,12,footballer,36
61,How many teams in his senior career did Mohamed play for in the 90's?,6,footballer,36
62,Which senior career team did Mohamed play for the year he played for the Argentina U20 national team?,Huracán,footballer,36
63,How many goals did Zinedine Zidane score for the Netherlands National team from 1988-2006?,0,footballer,40
64,Over how many years did Zinedine Zidane play in his senior career?,16,footballer,40
65,How many years did Zinedine Zidane spend in the youth division?,9,footballer,40
66,In what year did Zinedine Zidane start his senior career?,1989,footballer,40
67,What was the first team that Zinedine Zidane was associated with as a senior?,Cannes,footballer,40
68,How many years longer was Zidane's senior career than his youth career?,9,footballer,40
69,Which team did Zinedine Zidane manage in 2020?,Real Madrid,footballer,40
70,How many years after last playing for Real Madrid did Zidane become its assistant manager?,7,footballer,40
71,What team in his senior career did Zidane play for the year he won the FIFA World Cup?,Juventus,footballer,40
72,How many years did Roy Emerson play at an amateur level until he turned pro?,15,tennis,50
73,How old was Roy Emerson when he began to play professionally?,32,tennis,50
74,What was the last year Roy Emerson won Wimbledon?,1971,tennis,50
75,How many years after winning a doubles tournament did Roy Emerson win a singles tournament?,2,tennis,50
76,How many Davis Cups did Roy Emerson compete in after he turned pro?,4,tennis,50
77,How many total years did Roy Emerson play as both an amateur and a professional?,30,tennis,50
78,What was the first year Roy Emerson won the Davis Cup?,1959,tennis,50
79,How long in years did it take Roy Emereson to go from amateur to pro?,15,tennis,50
80,How old was Roy Emerson when he retired from professional play?,47,tennis,50
81,In what year did Roy Emerson first win a Grand Slam Singles Tournament?,1961,tennis,50
82,How many years after turning pro did Roy Emerson retire?,15,tennis,50
83,Which Grand Slam tournament did Emerson win the first year he won the Davis Cup team competition?,US Open,tennis,50
84,What was the most recent year Roy Emerson won the Australian Open?,1969,tennis,50
85,How old was Roy Emerson when he first won the French Open Doubles?,24,tennis,50
86,How many times did Emerson win multiple Grand Slam doubles titles in a single year?,3,tennis,50
87,What year was Roy Emerson inducted into the International Tennis Hall of Fame?,1982,tennis,50
88,How long in years did Roy Emerson play in the amateur league before going professional?,15,tennis,50
89,How long in years did Roy Emerson play professionally?,15,tennis,50
90,How many years passed between Nicklaus's first U.S. Open win and his final Masters Tournament victory?,24,golf,66
91,How many championships and awards did Nicklaus win in 1975?,4,golf,66
92,What was the most recent award that Jack Nicklaus won?,Congressional Gold Medal,golf,66
93,How many years after marrying did Nicklaus turn professional?,1,golf,66
94,What was the first year Jack Nicklaus won a Masters Tournament?,1963,golf,66
95,How many years after turning pro did Jack Nicklaus win his first Masters Tournament?,2,golf,66
96,How many years had Jack Nicklaus been playing when he won his first Masters Tournament?,2,golf,66
97,How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?,15,golf,66
98,What was the last year that Jack Nicklaus won a U.S. Open?,1980,golf,66
99,How many years passed between Diegel's first PGA Championship win and his T16 finish at the Masters?,6,golf,68
100,How many years before Diegel died was the picture taken?,19,golf,68
101,How long in years was Leo Diegel married?,17,golf,68
102,How many years after starting his pro career did Diegel marry Violet Bird Diegel?,18,golf,68
103,What year did Leo Diegel last win a major championship?,1929,golf,68
104,How many years after winning his first competition did Leo Diegel pass away?,31,golf,68
105,Who was Leo Diegel's spouse in 1940?,Violet Bird Diegel,golf,68
106,How many times did Leo Diegel win the PGA Championship after 1916?,2,golf,68
107,How many years ago did Leo Diegel die?,71,golf,68
108,"Which did Sam Snead win first, a Masters or a PGA tournament?",PGA,golf,70
109,How many years into his professional career did Sam Snead win the Masters?,15,golf,70
110,What year did Sam Snead begin playing professionally?,1934,golf,70
111,"What happened first, Sam Snead's marriage or career?",career,golf,70
112,How many years separate the time Sam Snead began playing professionally and his death?,68,golf,70
113,How many years before he married Audrey Karnes Snead did Snead begin his pro career?,6,golf,70
114,How many achievements and awards did Snead win in 1949?,3,golf,70
115,How many years after starting his pro career did Snead win his first championship?,8,golf,70
116,How old was Sam Snead when he turned professional?,21,golf,70
117,What year was Chuck Howley drafted into the NFL?,1958,rugby,74
118,How many years did Chuck Howley play for the Los Raiders?,12,rugby,74
119,How many years was Chuck Howley a 5× First-team All-Pro?,5,rugby,74
120,How many times did Chuck Howley play in the Pro Bowl when he was with the Raiders?,6,rugby,74
121,How old was Chuck Howley when his NFL career began?,22,rugby,74
122,What team did Chuck Howley play for the year he made the Second-team All-Pro?,Raiders,rugby,74
123,What team did Chuck Howley play for first?,Chicago Bears,rugby,74
124,What team did Chuck Howley end his career playing for?,Raiders,rugby,74
125,When was the last year that Chuck Howley played in the Pro Bowl?,1971,rugby,74
126,During what year did Manning receive the most awards or highlights?,2003,rugby,75
127,"What career highlight did Manning achieve the year he had 1,219 passing yards?",Pro Bowl,rugby,75
128,How many more years did Manning play for the New York Giants than for Ole Miss?,11,rugby,75
129,"In 2011, how many passing yards in a single postseason did Eli Manning have?",1219,rugby,75
130,How many years had Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?,12,rugby,75
131,What year was Eli Manning drafted into the NFL?,2004,rugby,75
132,How many years did Eli Manning play for the New York Giants?,15,rugby,75
133,How many years did Eli Manning attend Ole Miss?,4,rugby,75
134,How many years after attending Ole Miss did Eli Manning win the Bart Starr award?,21,rugby,75
135,What college did James Worthy attend in 1980?,North Carolina,nba,81
136,How many years did James Worthy play professionally?,12,nba,81
137,What was the last year that James Worthy played in an NBA All Stars game?,1992,nba,81
138,What was the first year that James worthy was chosen as an All-American player?,1978,nba,81
139,For how many years did James Worthy play in the NBA?,12,nba,81
140,How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?,3,nba,81
141,How many awards and highlights did Worthy receive in his last year of college?,5,nba,81
142,How many years after Worthy's NBA career began did he win his first NBA championship?,3,nba,81
143,How many years had James Worthy been playing professionally when he won the NCAA Championship?,0,nba,81
144,How many years ago was Nate Archibald inducted into the Basketball Hall of Fame?,16,nba,83
145,What was the first college Nate Archibald attended?,Arizona Western,nba,83
146,What team did Nate Archibald play for after the Boston Celtics?,Milwaukee Bucks,nba,83
147,How many highlights and awards did Nate Archibald win in 1973?,4,nba,83
148,How many years did Nate Archibald play professionally?,14,nba,83
149,What was the last team that Nate Archibald played for in the NBA?,Bucks,nba,83
150,What was the last year Nate Archibald was an NBA All Star?,1982,nba,83
151,How long in years was Nate Archibald's career since 1970?,14,nba,83
152,Which professional team did Nate Archibald play for in 1980?,Boston Celtics,nba,83
153,Which team was Scottie Pippen with in 1990?,Chicago Bulls,nba,89
154,How old was Scottie Pippen when he won a gold medal at the 1996 Atlanta Olympic Games?,31,nba,89
155,How many years did Pippen play between his stints in Chicago?,5,nba,89
156,Which team did Pippen play for when he won his most recent award?,Portland Trail Blazers,nba,89
157,How old was Pippen when he won his first Olympic gold?,27,nba,89
158,What team was Pippen playing for the year he won a gold medal at the Atlanta Olympics?,Chicago Bulls,nba,89
159,How many years after entering the NBA draft was Pippen awarded NBA steals leader?,8,nba,89
160,How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?,8,nba,89
161,How many years ago was Scottie Pippen awarded NBA steals leader?,27,nba,89
162,Did Carolina Albuquerque win a gold in Japan before winning one in Winnipeg?,no,volleyball,93
163,Did Carolina Albuquerque compete in the Pan American Games before the Olympic Games?,yes,volleyball,93
164,How many gold medals had Carolina Albuquerque won by the time she got a silver medal in Rio de Janeiro?,4,volleyball,93
165,What was the first year that Carolina Albuquerque competed on the national team?,1997,volleyball,93
166,How many years separate Carolina Albuquerque's silver medals in the World Grand Prix and the World Championship?,7,volleyball,93
167,How many years after her first gold medal in any international competition did Carolina Albuquerque win a gold in the Olympics?,9,volleyball,93
168,In which year did Carolina Albuquerque win the most gold medals in international competition?,2008,volleyball,93
169,How many gold medals had Carolina Albuquerque won by the year 2004?,1,volleyball,93
170,What years did Carolina Albuquerque win medals in Asia?,"1999, 2005, 2006, 2008",volleyball,93
171,How old was Thiago Alves when he won his first medal at the Olympic Games in 2012?,26,volleyball,96
172,Which team did Thiago Alves play for in 2021?,Montes Claros Vôlei,volleyball,96
173,What team did Thiago Alves play for the longest?,Grêmio Náutico União,volleyball,96
174,What teams did Thiago Alves play for when he was 25 years old?,Panasonic Panthers and SESI-SP,volleyball,96
175,How many gold medals did Thiago Alves win throughout his career?,9,volleyball,96
176,Where did Thiago Alves win the silver medal in the 2012 Olympics?,London,volleyball,96
177,How many years separate the two gold medals that Thiago Alves won in the World Grand Championships Cup?,4,volleyball,96
178,How old was Thiago Alves when he won gold in the Pan American Games in 2011?,25,volleyball,96
179,How many years did Thiago Alves play for Grêmio Náutico União starting from 2000?,3,volleyball,96
180,What year did Matt Biondi win 4 gold medals at the Summer Universiade games?,1985,swimming,115
181,How many years after winning his first Olympic medal did Matt Biondi win a medal in his last Olympic Games?,8,swimming,115
182,How many gold medals did Matt Biondi win at the 1988 Seoul Olympics?,5,swimming,115
183,What year did Matt Biondi win his only bronze in the Olympics?,1988,swimming,115
184,How many gold medals did Matt Biondi win at the 1988 Olympics?,5,swimming,115
185,How many gold medals did Matt Biondi win in his career up to 2022 for the 100m freestyle?,7,swimming,115
186,How many gold medals did Matt Biondi win in the World Championships?,6,swimming,115
187,What was the last year that Matt Biondi won a medal in the Olympic Games?,1992,swimming,115
188,What year did Matt Biondi first win a gold medal at the Olympic Games?,1984,swimming,115
189,Where did Tom Jager last win a medal in the World Championships?,Perth,swimming,118
190,How many 50m freestyle gold medals did Tom Jager win in his career up to 2022?,5,swimming,118
191,How many 4x100m freestyle medals did Tom Jager win in his career up to 2022?,1,swimming,118
192,How many medals did Tom Jager win in the 1988 Olympics?,3,swimming,118
193,How many medals did Tom Jager win in the Olympics during the '80s?,5,swimming,118
194,In what year did Jager win the most Olympic medals?,1988,swimming,118
195,Where did Tom Jager first win a medal in the Olympics?,Los Angeles,swimming,118
196,In what city did Jager win his last gold medal in international competitions?,Mar del Plata,swimming,118
197,How many years were there between Jager's gold medals at the Los Angeles Olympics and his gold medals at the Edmonton Pan Am Games?,7,swimming,118
198,How old was Bayinnaung when he began his reign as Suzerain of Siam?,48,emperor,119
199,How many years elapsed from the beginning of Bayinnaung's reign as Suzerain of Lan Na to the end of his first reign as Suzerain of Lan Xang?,10,emperor,119
200,How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation in Toungoo?,9,emperor,119
201,How many days after Bayinnaung died was he buried?,5,emperor,119
202,In what year did Bayinnaung first reign?,1550,emperor,119
203,How many years did Bayinnaung rule as the Suzerain of Siam?,17,emperor,119
204,Who was the Suzerain of Lan Xang in 1582?,Nanda,emperor,119
205,Who was the king of Suzerain of Lan Na in 1560?,Mekuti,emperor,119
206,Where was the first coronation of Bayinnaung?,Toungoo,emperor,119
207,How old was Peter III when he became King of Aragon and Valencia?,37,emperor,122
208,How long did Peter III rule as King of Aragon and Valencia?,9,emperor,122
209,What was the last position held by Peter III?,King of Aragon and Valencia,emperor,122
210,On what date did Peter III assume his first role?,"July 27, 1276",emperor,122
211,What was the first area ruled by Peter III?,Sicily,emperor,122
212,How many years before his death did Peter III begin his reign as King of Sicily?,3,emperor,122
213,How many years did Peter III reign as King of Sicily?,3,emperor,122
214,How many years longer was Peter III's reign as King of Aragon and Valencia than as King of Sicily?,6,emperor,122
215,How old was Peter III when he started his reign as King of Aragon and Valencia?,37,emperor,122
216,In what city did Chen Yufei win a gold medal the year of her highest ranking?,Nanning,badminton,129
217,What city did Chen Yufei compete in both the Asian Junior Championships and the Uber Cup?,Bangkok,badminton,129
218,How many gold medals has Chen Yufei won in mixed team competition?,9,badminton,129
219,"Since 2013, what year did Chen Yufei not win a medal in badminton?",2021,badminton,129
220,Who was the coach of Chen Yufei in 2021?,Luo Yigang,badminton,129
221,How many gold medals has Chen Yufei won in the Asian Junior Championships since 2013?,5,badminton,129
222,Which country did Chen Yufei represent in the 2020 Tokyo Olympic Games?,China,badminton,129
223,In what year did Chen Yufei win the most medals?,2016,badminton,129
224,How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?,7,badminton,129
225,How many years ago did Shi Yuqi achieve his highest rank?,5,badminton,166
226,In what year did Shi Yuqi win the most gold medals?,2014,badminton,166
227,In what city did Shi Yuqi win a bronze medal the year of his highest ranking?,Ho Chi Minh,badminton,166
228,How many years separate Yuqi's silver medal at the World Championship from his silver at the Asian Junior Championships?,6,badminton,166
229,What was the first year that Shi Yuqi won a medal at the Asian Junior Championships?,2012,badminton,166
230,How many medals has Shi Yuqi won after 2012?,20,badminton,166
231,When was the most recent year in which Shi Yuqi won a medal?,2021,badminton,166
232,Which country did Shi Yuqi represent in the 2014 Youth Olympic Games?,China,badminton,166
233,How many Mixed Team gold medals has Shi Yuqi won at the Asian Junior Championships since 2012?,2,badminton,166
234,How many gold medals did Wang Xiaoli win the year she was ranked number 1?,2,badminton,174
235,In what year did Wang Xiaoli win the most bronze medals?,2006,badminton,174
236,How many years separate Wang Xiaoli's gold medal at the London World Championship from her gold medal at the Asian Junior Championships?,5,badminton,174
237,What was the most recent year that Wang Xiaoli received a medal at the Asian Junior Championships?,2007,badminton,174
238,What was the first year that Wang Xiaoli won a medal at the World Championships?,2010,badminton,174
239,How many medals did Wang Xiaoli receive at the East Asian Games in 2009?,2,badminton,174
240,How many years ago did Wang Xiaoli achieve her highest ranking?,8,badminton,174
241,How many gold medals has Wang Xiaoli won in the Olympic Games since 2011?,2,badminton,174
242,How old was Wang Xiaoli when she won her first gold medal at the Asian Junior Championships in 2006?,17,badminton,174
243,How many years were B-24 Skuas on the front line?,3,aircraft,226
244,How many B-24 Skuas were built between 1937-1941?,192,aircraft,226
245,How many years ago was the B-24 Skua's first flight?,85,aircraft,226
246,What year was the B-24 Skua introduced?,1938,aircraft,226
247,How many years after the first flight was the B-24 Skua introduced?,1,aircraft,226
248,How many years did the B-24 Skua fly before it was completely retired?,8,aircraft,226
249,How many years longer was the time between the withdrawal of the B-24 Skua from the front line and its withdrawal from other duties than the time between its first flight and introduction?,3,aircraft,226
250,How many years lapsed between the introduction and the frontline withdrawal of the B-24 Skua?,3,aircraft,226
251,How long after the first flight of the B-24 Skua was it withdrawn from other duties?,8,aircraft,226
252,How many years passed between the first flight and the introduction of the JF-17 Thunder?,4,fighter,229
253,How many years after its first flight in 2003 was the JF-17 Thunder introduced?,4,fighter,229
254,For how many years has the JF-17 Thunder been produced in Pakistan?,14,fighter,229
255,How long has the JF-17 Thunder been used in Pakistan?,15,fighter,229
256,How many years has the JF-17 Thunder been used in China?,15,fighter,229
257,In what country was the JF-17 first produced the same year it was introduced?,China,fighter,229
258,How many JF-17 jets were produced 15 years after its introduction?,164,fighter,229
259,Who were the primary users of the JF-17 Thunder in 2022?,"Pakistan Air, Force Myanmar Air Force, Nigerian Airforce",fighter,229
260,How many years after its first flight was the JF-17 produced in Pakistan?,4,fighter,229
261,How many countries became Belarus' main export partners in 2021?,9,economy,235
262,"Between 2018 and 2021, which year was Belarus's GDP growth the lowest?",2020,economy,235
263,"Between 2018 and 2021, which year was Belarus's GDP growth the highest?",2021,economy,235
264,What was the most imported and exported good from Belarus in 2017?,Manufacturers,economy,235
265,What year are the most recent statistics in this table from?,2021,economy,235
266,"What was the population of Minsk, the financial capital of Belarus, in 2020?",9408350,economy,235
267,How many Indians live in Belarus?,171,economy,235
268,"What is the fiscal year of Minsk, the financial capital of Belarus?",Calendar year,economy,235
269,Which field of employment contributes the most to the Belarusian economy based on 2015 estimates?,services,economy,235
270,How many years did it take for inflation in France to decrease by 0.8%?,1,economy,243
271,How many years did it take for the Human Development Index of France to grow by 0.089 points?,1,economy,243
272,What percentage of France's exports go to Germany and Spain combined?,28.7%,economy,243
273,Was the rate of inflation in France higher in 2020 or 2018?,2018,economy,243
274,How much did France's HDI increase from 2019 to 2020?,0.089,economy,243
275,How much greater was France's average gross salary in 2017 than its average net salary in 2022 in euros?,10996,economy,243
276,"Which is greater, France's 2020 foreign reserves or its 2019 public debt?",2019 public debt,economy,243
277,How much greater was France's 2022 GDP PPP over its nominal GDP in dollars?,0.291 trillion,economy,243
278,How many years after the economic aid of $9.50 billion did the revenues of the French economy reach 52.6% of GDP?,3,economy,243
279,What was the dollar value of foodstuffs imports in Japan in 2019?,73.47 billion,economy,248
280,"What was Japan's total FDI stock in 2019 in dollars?",2.168 trillion,economy,248
281,What is the difference in the GDP growth of Japan between 2020 and 2021?,0.4%,economy,248
282,What was the main labor force of Japan in 2018?,Services,economy,248
283,Who was the main export partner of Japan in 2021?,China,economy,248
284,What were the total exports for Japan in 2021 in dollars?,728.931 billion,economy,248
285,On what month and day does Japan's fiscal year end?,March 31,economy,248
286,What was the second most imported good in Japan in 2021?,Mineral Fuels,economy,248
287,On what month and day does Japan's fiscal year begin?,April 1,economy,248
288,What was the population of Malaysia in 2022?,33871431,economy,250
289,"On May 29, 2022, how much money did Malaysia have in foreign reserves in US dollars?",112.8 billion,economy,250
290,What country made up 30.5% of Malaysia's import partners in 2022?,Taiwan,economy,250
291,What percent was unemployment in Malaysia four years after the year its Gini coefficient was 42.8?,3.6,economy,250
292,"How many years are between the year Malaysia's nominal GDP rank was 34th and the year its PPP GDP per capita was $32,901?",0,economy,250
293,What was Malaysia's estimated nominal GDP per capita rank the year after its exports were estimated at $280 billion?,84,economy,250
294,Who was the second largest export partner of Malaysia in 2021?,Singapore,economy,250
295,"What was the value of combined local and abroad FDI stock in 2017 in dollars?",268 billion,economy,250
296,By how many percent did the main export partner of Malaysia change between 2021 and 2022?,3.5%,economy,250
297,How many months has it been since Horacio Rosatti became President of the Supreme Court of Argentina?,8,court,253
298,"Who was the President of the Supreme Court of Argentina on January 1, 2022?",Horacio Rosatti,court,253
299,How many years ago was the Supreme Court of Argentina established?,159,court,253
300,How many months has Carlos Rosenkrantz been in the office of Vice President of the Supreme Court of Argentina?,8,court,253
301,How many years has it been since the Supreme Court of Argentina was established?,159,court,253
302,"If a judge is appointed at the age of 50, how many years can they serve before a five-year extension is required?",25,court,253
303,How old did the Supreme Administrative Court turn the year Anna Sporrer became Vice President?,138,court,254
304,How many years ago was the Supreme Administrative Court established?,146,court,254
305,Who was the Vice President of the Supreme Administrative Court when Rudolf Thienel was President in 2015?,Anna Sporrer,court,254
306,Who was the Vice President of the Supreme Administrative Court in 2015?,Anna Sporrer,court,254
307,How long in years has Rudolf Thienel been President of the Supreme Administrative Court?,8,court,254
308,How many years after its establishment did the Supreme Administrative Court have Rudolf Thienel as its President?,138,court,254
309,Who was the President of the Supreme Administrative Court in 2020?,Rudolf Thienel,court,254
310,How old did the Supreme Administrative Court turn the year Rudolf Thienel became President?,138,court,254
311,How many years after Rudolf Thienel became President did Anna Sporrer become Vice President?,0,court,254
312,Who was the Deputy President of the Supreme Court of Israel in May 2022?,Uzi Vogelman,court,257
313,How many years ago was the Supreme Court of Israel established?,74,court,257
314,Who was the President of the Supreme Court of Israel in 2019?,Esther Hayut,court,257
315,How much longer in years will Esther Hayut's term as President be compared to Uzi Vogelman's term as Deputy President?,4,court,257
316,How many years was there between the start of Uzi Vogelman's term as Deputy President and the end of his jurist term?,2,court,257
317,How many years after the Supreme Court of Israel was established did Esther Hayut become president?,69,court,257
318,What is the number of other positions in the Supreme Court of Israel apart from those held by Hayut and Vogelman?,13,court,257
319,For approximately how many more years has Esther Hayut been with the Supreme Court of Israel compared to Uzi Vogelman?,5,court,257
320,How many years after the establishment of the Supreme Court of Israel did Esther Hayut become President?,69,court,257
321,How many total wins did Casey Mears accumulate in NASCAR?,2,martial artist,264
322,How many years ago did Casey Mears last participate in the IndyCar Series?,21,martial artist,264
323,How many years ago did Casey Mears receive the award of Coca-Cola 600 winner?,15,martial artist,264
324,Over how many years did Casey Mears participate in the NASCAR Xfinity Series?,10,martial artist,264
325,What was the last race that Casey Mears ran in the Champ Car Series in 2001?,Marlboro 500,martial artist,264
326,How long in years did Casey Mears' career last in the Champ Car series?,2,martial artist,264
327,What year did Casey Mears have his first Daytona 500 race?,2003,martial artist,264
328,How many years did it take for Mears to win a NASCAR Cup Series race?,4,martial artist,264
329,What state did all four of Casey Mears' debut and final races in NASCAR series occur in?,Florida,martial artist,264
330,How many top 10 NASCAR finishes does Cody Ware have across all series?,2,racing,265
331,How many different NASCAR series has Cody Ware competed in?,4,racing,265
332,How old was Cody Ware when he debuted in the NASCAR Cup Series?,22,racing,265
333,How many years did Cody Ware race in the NASCAR Xfinity Cup Series?,7,racing,265
334,How many years ago did Cody Ware win the Lamborghini Super Trofeo North America Rookie of the Year 2014?,8,racing,265
335,How old was Cody Ware when he first raced in the NASCAR PEAK Mexico Series in 2014?,19,racing,265
336,How many races has Cody Ware participated in the NASCAR Xfinity Series since 2014?,28,racing,265
337,How old was Cody Ware when he competed in the NASCAR PEAK Mexico Series?,19,racing,265
338,What year did Cody Ware race his first NASCAR Cup Series race?,2017,racing,265
339,How many years ago was Tony Stewart awarded the IROC championship?,16,racing,272
340,How old was Tony Stewart when he began his IndyCar Series career?,25,racing,272
341,What year did Tony Stewart win his first NASCAR Cup Series race?,1999,racing,272
342,How many major American series has Stewart won a race in?,4,racing,272
343,At what age was Stewart inducted into the NASCAR Hall of Fame?,49,racing,272
344,How many total top 10s in any NASCAR series does Stewart have?,354,racing,272
345,What year did Tony Stewart win his last NASCAR Cup Series race?,2016,racing,272
346,How old was Tony Stewart when he won his first NASCAR Series race in 2002?,31,racing,272
347,How many times did Tony Stewart win the NASCAR Cup Series from 1999 to 2016?,49,racing,272
348,How many medals has B. J. Neufeld won for Manitoba from 2007 to present?,2,curling,281
349,How many total medals has B.J. Neufeld won in all Tim Hortons Brier events?,4,curling,281
350,How old was B. J. Neufeld when he received his last medal?,36,curling,281
351,Where did B. J. Neufeld receive his most recent medal?,Lethbridge,curling,281
352,When was the last time that B. J. Neufeld won any type of medal?,2022,curling,281
353,How many years has B.J. Neufeld been associated with a member association?,15,curling,281
354,How many years ago was B. J. Neufeld top ranked in CTRS?,8,curling,281
355,Which member association did B.J. Neufeld have when he won the Canadian Open?,Manitoba,curling,281
356,Which team was B. J. Neufeld associated with in 2019?,Alberta,curling,281
357,What year was the first time that Dawn McEwen made an appearance at the World Championships?,2008,curling,288
358,What was the first year that Dawn McEwen got a gold medal at the Scotties Tournament of Hearts?,2008,curling,288
359,At what competition did Dawn McEwen get her most recent medal?,Scotties Tournament of Hearts,curling,288
360,How old was Dawn McEwen when she won the gold at the 2014 Sochi Olympics?,34,curling,288
361,What year did Dawn McEwen make her first Olympic appearance?,2014,curling,288
362,What medal did Dawn McEwen win at the 2008 World Championships in Vernon?,gold,curling,288
363,How many years has Dawn McEwen played for Ontario since 2003?,4,curling,288
364,How many times has Dawn McEwen appeared in the Olympic games since 2014?,1,curling,288
365,How many gold medals has Dawn McEwen won in the Scotties Tournament of Hearts representing Manitoba since 2008?,5,curling,288
366,Which country was represented by Emma Miskew in the 2017 World Curling Championships?,Canada,curling,291
367,At what competition did Emma Kathryn Miskew most recently receive a medal?,Scotties Tournament of Hearts,curling,291
368,What year did Emma Kathryn Miskew first win a medal at the World Curling Championships?,2013,curling,291
369,How old was Emma Miskew when she appeared in the 2018 Olympic Games?,29,curling,291
370,How many medals did Miskew win in the first year she had a number one CTRS ranking?,3,curling,291
371,How many years elapsed between Miskew's gold medal at the Canada Winter Games and her gold medal at the Canadian Olympic Curling Trials?,10,curling,291
372,In what city did Miskew win a medal the year of her 30th birthday?,Sydney,curling,291
373,How old was Emma Kathryn Miskew when she made her first Hearts appearance?,22,curling,291
374,How many gold medals has Emma Miskew won for Ontario since 2007?,4,curling,291
375,In what year did Alexandra Boltasseva's longest streak of receiving an annual award begin?,2017,scientist,315
376,What year did Alexandra Boltasseva win her first award?,2008,scientist,315
377,What year did Alexandra Boltasseva win her first award?,2008,scientist,315
